IDa	Descriptionf
CCV11-1_C	Noise_of_mother_cell_size
CCV11-2_C	Noise_of_bud_cell_size
CCV12-1_C	Noise_of_mother_cell_outline_length
CCV12-2_C	Noise_of_bud_cell_outline_length
CCV13_C	Noise_of_mother_cell_fitness_for_ellipse
CCV101_C	Noise_of_whole_cell_size
CCV102_C	Noise_of_whole_cell_outline_length
CCV103_C	Noise_of_long_axis_length_in_mother
CCV104_C	Noise_of_short_axis_length_in_mother
CCV105_C	Noise_of_neck_position
CCV106_C	Noise_of_bud_direction
CCV107_C	Noise_of_long_axis_length_in_bud
CCV108_C	Noise_of_short_axis_length_in_bud
CCV109_C	Noise_of_neck_width
CCV110_C	Noise_of_distance_between_bud_tip_and_mother_long_axis_extension
CCV111_C	Noise_of_distance_between_bud_tip_and_mother_short_axis_extension
CCV112_C	Noise_of_distance_between_middle_point_of_neck_and_mother_center
CCV113_C	Noise_of_distance_between_bud_tip_and_mother_long_axis_through_middle_point_of_neck
CCV114_C	Noise_of_bud_axis_ratio
CCV115_C	Noise_of_mother_axis_ratio
CCV116_C	Noise_of_axis_ratio_ratio
CCV117_C	Noise_of_cell_outline_ratio
CCV118_C	Noise_of_cell_size_ratio
CCV126_C	Noise_of_brightness_difference_of_cell_wall
CCV127_C	Noise_of_thickness_difference_of_cell_wall
CCV128_C	Noise_of_distance_between_middle_point_of_neck_and_mother_hip
ACV7-1_C	Noise_of_size_of_actin_region_in_mother
ACV7-2_C	Noise_of_size_of_actin_region_in_bud
ACV8-1_C	Noise_of_total_brightness_of_actin_region_in_mother
ACV8-2_C	Noise_of_total_brightness_of_actin_region_in_bud
ACV9_C	Noise_of_proportion_of_actin_region_at_neck
ACV101_C	Noise_of_actin_region_ratio_in_whole_cell
ACV102_C	Noise_of_bud_actin_region_ratio_to_total_region
ACV103_C	Noise_of_relative_distance_of_actin_patch_center_from_neck_in_mother
ACV104_C	Noise_of_relative_distance_of_actin_patch_center_from_neck_in_bud
ACV120_C	Noise_of_total_length_of_actin_patch_link
ACV121_C	Noise_of_maximal_distance_between_patches
ACV122_C	Noise_of_number_of_bright_actin_patches
ACV123_C	Noise_of_ratio_of_actin_patches_to_actin_region
DCV14-1_C	Noise_of_nuclear_size_in_mother
DCV14-2_C	Noise_of_nuclear_size_in_bud
DCV14-3_C	Noise_of_nuclear_size_in_whole_cell
DCV15-1_C	Noise_of_nuclear_brightness_in_mother
DCV15-2_C	Noise_of_nuclear_brightness_in_bud
DCV15-3_C	Noise_of_nuclear_brightness_in_whole_cell
DCV16-1_C	Noise_of_maximal_intensity_of_nuclear_brightness_in_mother
DCV16-2_C	Noise_of_maximal_intensity_of_nuclear_brightness_in_bud
DCV16-3_C	Noise_of_maximal_intensity_of_nuclear_brightness_in_whole_cell
DCV17-1_C	Noise_of_nuclear_fitness_for_ellipse_in_mother
DCV17-2_C	Noise_of_nuclear_fitness_for_ellipse_in_bud
DCV103_C	Noise_of_distance_between_nuclear_gravity_center_in_mother_and_mother_tip
DCV106_C	Noise_of_ratio_of_D103_to_C103
DCV108_C	Noise_of_distance_between_nuclear_gravity_center_in_mother_and_middle_point_of_neck
DCV109_C	Noise_of_distance_between_nuclear_gravity_center_in_bud_and_middle_point_of_neck
DCV112_C	Noise_of_ratio_of_D108_to_C128
DCV113_C	Noise_of_ratio_of_D109_to_C107
DCV116_C	Noise_of_distance_between_two_nuclear_gravity_centers_through_middle_point_of_neck
DCV117_C	Noise_of_distance_between_nuclear_gravity_center_in_mother_and_mother_center
DCV119_C	Noise_of_distance_between_nuclear_gravity_center_in_bud_and_bud_center
DCV121_C	Noise_of_distance_between_nuclear_gravity_center_in_bud_and_bud_tip
DCV123_C	Noise_of_ratio_of_D121_to_C107
DCV125_C	Noise_of_distance_between_nuclear_gravity_center_in_mother_and_mother_hip
DCV128_C	Noise_of_distance_between_nuclear_brightest_point_in_mother_and_mother_tip
DCV130_C	Noise_of_distance_between_nuclear_brightest_point_in_mother_and_middle_point_of_neck
DCV131_C	Noise_of_distance_between_nuclear_brightest_point_in_bud_and_middle_point_of_neck
DCV134_C	Noise_of_distance_between_two_nuclear_brightest_points_through_middle_point_of_neck
DCV135_C	Noise_of_distance_between_nuclear_brightest_point_in_mother_and_mother_center
DCV137_C	Noise_of_distance_between_nuclear_brightest_point_in_bud_and_bud_center
DCV139_C	Noise_of_distance_between_nuclear_brightest_point_in_bud_and_bud_tip
DCV141_C	Noise_of_distance_between_nuclear_brightest_point_in_mother_and_mother_hip
DCV143_C	Noise_of_distance_between_nuclear_outline_point_D6-1_in_mother_and_middle_point_of_neck
